id_unique,affect,etat,elec_annual_kwh,pv_annual_kwh,autoconsumption,autonomy
C1-1,Installation sportive,Existant,21633.999,86575.5,0.23348264185352594,0.9343569101482317
C2-0,Habitat collectif,Existant,16523.982,18876.0,0.66427691495034,0.758829865985246
H2-3,Administration,Existant,38607.988,29584.5,0.7736183448375424,0.5928076832920243
E4-4,Habitat collectif,Nouveau,176182.073,74778.00000000001,0.9849125568646577,0.4180322658436729
E2-5,Ecole,Nouveau,68111.968,79860.00000000003,0.4609062675804771,0.5404039203356584
H3-6,Habitat collectif,Nouveau,103740.033,42289.5,0.9884001524656324,0.40292013641151786
H3-8,Industries,Nouveau,78539.939,178959.00000000003,0.3895781386703328,0.887682305410297
H3-9,Habitat collectif,Nouveau,125891.973,54450.0,0.984252943670213,0.4257028586154822
H2-10,Habitat collectif,Nouveau,109919.983,55720.5,0.9635875810406722,0.48846060874460634
H2-11,Habitat collectif,Nouveau,125568.007,66973.50000000001,0.9500571471214176,0.5067266245830937
H4-12,Administration,Nouveau,109450.019,46282.5,0.9522691035569263,0.4026805585604644
H2-13,Industries,Nouveau,24888.057999999997,84942.0,0.27580047037559413,0.9412965669978637
H2-14,Administration,Nouveau,284372.92,193116.0,0.8188421727137241,0.5560709684515092
H2-15,Industries,Nouveau,13124.036,44830.5,0.2751902323064588,0.9400245251852937
H2-16,Administration,Nouveau,79200.045,46464.0,0.8633945090961899,0.5065244908717585
H2-17,Administration,Nouveau,65234.013999999996,39204.0,0.8584022699731884,0.5158781520332151
H2-18,Administration,Nouveau,77280.065,64977.0,0.7369153230072272,0.6195976535868675
H2-19,Habitat collectif,Nouveau,98400.011,46464.0,0.9715991562335319,0.4587843307785283
H2-20,Industries,Nouveau,23400.023999999998,69696.0,0.31053024399414675,0.9249014396487821
H2-21,Administration,Nouveau,153900.017,104544.00000000001,0.8224068874861428,0.5586594941399605
H2-22,Industries,Nouveau,38250.018,87120.0,0.38901514704637913,0.8860387885485583
H2-23,Habitat collectif,Nouveau,90375.044,43560.0,0.970250659262362,0.4676525382103105
H2-24,Non chauffé,Nouveau,132129.032,289674.0000000001,0.4106437807476709,0.9002777417176633
H3-25,Habitat collectif,Nouveau,87156.0,37570.50000000001,0.9835695703325675,0.4239891750674622
H4-26,Habitat collectif,Nouveau,92339.99799999999,37570.50000000001,0.9880657293660514,0.4020156409917536
H4-27,Habitat collectif,Nouveau,96227.945,37570.50000000001,0.9915063053313995,0.3871161089894765
H4-28,Habitat collectif,Nouveau,128232.021,54450.0,0.9837262412087316,0.417710751309265
H4-29,Habitat collectif,Nouveau,100875.063,43560.0,0.9831211951251219,0.4245326643280541
H4-30,Administration,Nouveau,133055.989,66973.50000000001,0.9132204853267389,0.4596679385399958
H4-31,Habitat collectif,Nouveau,105299.959,37570.50000000001,0.995957301378561,0.35535259601993985
H4-32,Habitat collectif,Nouveau,187199.972,66973.50000000001,0.9962949434543429,0.35643893897291523
H1-33,Administration,Nouveau,102600.056,69696.0,0.8179678863104527,0.555643846863917
B3-34,Habitat collectif,Nouveau,82880.036,68788.50000000001,0.8085555218225958,0.6710822557182968
A1-35,Industries,Nouveau,67591.98999999999,230868.00000000003,0.2759702927496231,0.9426073939607342
G2-36,Habitat collectif,Nouveau,164160.00400000002,66973.50000000001,0.9889694915973309,0.4034767704165861
D3-37,Administration,Nouveau,386772.016,232864.50000000006,0.861566544713083,0.5187248672389467
B2-38,Habitat collectif,Nouveau,88403.97,96921.0,0.6853349646783444,0.7513616199769063
B4-39,Administration,Nouveau,262984.97500000003,205095.00000000003,0.7735910236097114,0.6033031012027732
B3-42,Administration,Nouveau,76790.999,62436.00000000001,0.76039273624663,0.618247991282085
B2-43,Administration,Nouveau,61599.988999999994,64977.0,0.657132238942565,0.6931572908198255
B2-44,Habitat collectif,Nouveau,44800.002,46464.0,0.715182757982552,0.7417466558796425
A2-45,Ecole,Nouveau,37191.03,130861.5,0.23644243299242582,0.8319536040017803
A2-46,Ecole,Nouveau,37157.990000000005,130861.5,0.2360065534560711,0.8311582944904082
A2-47,Ecole,Nouveau,37157.964,130861.5,0.23621172775378255,0.8318814510787409
A2-48,Ecole,Nouveau,49543.922000000006,130861.5,0.2894487872619683,0.7645277350929557
F3-49,Administration,Nouveau,88704.073,66973.50000000001,0.7835526132670758,0.5915992261667907
B1-50,Habitat collectif,Nouveau,73500.007,101640.00000000003,0.5998165253568988,0.8294604874973033
F3-51,Administration,Nouveau,70125.00099999999,49368.00000000001,0.8105829169221328,0.570650365375565
B1-52,Non chauffé,Nouveau,54480.049,210903.00000000003,0.2504881111178618,0.9696888139562873
B1-53,Commerce,Nouveau,78605.98800000001,138303.0,0.4808960454185514,0.8461106775926779
G2-54,Habitat collectif,Nouveau,157824.088,66973.50000000001,0.9849737111371952,0.4179788882597374
A3-55,Administration,Nouveau,38455.996,50820.000000000015,0.5763251901838324,0.7616197527465515
F3-56,Habitat collectif,Nouveau,125567.994,66973.50000000001,0.9502582993298888,0.5068339644748193
B3-58,Administration,Nouveau,63360.005999999994,66973.50000000001,0.6601492580753485,0.6977983293705712
B2-59,Habitat collectif,Nouveau,36623.964,37933.5,0.7149148251421914,0.740477505917473
B2-60,Habitat collectif,Nouveau,67619.93100000001,56083.5,0.8082106146812569,0.6703242570371192
B1-61,Industries,Nouveau,40018.024000000005,136669.5,0.2756932176618793,0.9415470941603765
B1-62,Industries,Nouveau,21997.947,75141.00000000001,0.2750996838284873,0.9396906603400931
A1-63,Non chauffé,Nouveau,46055.998999999996,222882.0,0.20332708359873963,0.9839749007866334
F4-64,Habitat collectif,Nouveau,81648.013,37570.50000000001,0.9757528734751174,0.4489946783260592
F4-65,Habitat collectif,Nouveau,79704.02399999999,37570.50000000001,0.9707522923953893,0.4575885528871288
F4-66,Habitat collectif,Nouveau,148031.997,66973.50000000001,0.9801218700270092,0.4434324564455745
F4-67,Habitat collectif,Nouveau,141696.07799999998,66973.50000000001,0.9715185560379092,0.45919406472778257
B1-68,Habitat collectif,Nouveau,73499.981,101640.00000000003,0.5990644342877716,0.8284207461360993
B1-69,Habitat collectif,Nouveau,73500.01999999999,101640.00000000003,0.5980369254890093,0.826999409070949
