resource,mass_flow_kg_h
C1-1,0.0
C2-0,0.0
H2-3,0.0
E4-4,0.0
E2-5,0.0
H3-6,0.0
H3-8,0.0
H3-9,0.0
H2-10,0.0
H2-11,0.0
H4-12,0.0
H2-13,0.0
H2-14,0.0
H2-15,0.0
H2-16,0.0
H2-17,0.0
H2-18,0.0
H2-19,0.0
H2-20,0.0
H2-21,0.0
H2-22,0.0
H2-23,0.0
H3-25,0.0
H4-26,0.0
H4-27,0.0
H4-28,0.0
H4-29,0.0
H4-30,0.0
H4-31,0.0
H4-32,0.0
H1-33,0.0
B3-34,0.0
A1-35,0.0
G2-36,0.0
D3-37,0.0
B2-38,0.0
B4-39,0.0
B3-42,0.0
B2-43,0.0
B2-44,0.0
A2-45,0.0
A2-46,0.0
A2-47,0.0
A2-48,0.0
F3-49,0.0
B1-50,0.0
F3-51,0.0
B1-53,0.0
G2-54,0.0
A3-55,0.0
F3-56,0.0
B3-58,0.0
B2-59,0.0
B2-60,0.0
B1-61,0.0
B1-62,0.0
F4-64,0.0
F4-65,0.0
F4-66,0.0
F4-67,0.0
B1-68,0.0
B1-69,0.0
B1-70,0.0
A1-71,0.0
A4-72,0.0
A4-73,0.0
A4-74,0.0
A3-75,0.0
A3-76,0.0
A3-77,0.0
A3-78,0.0
A4-80,0.0
A4-81,0.0
B2-82,0.0
B3-83,0.0
B3-84,0.0
B3-85,0.0
B3-86,0.0
B3-87,0.0
B3-88,0.0
D1-93,0.0
B2-90,0.0
B2-91,0.0
B3-92,0.0
A3-94,0.0
E1-98,0.0
F2-99,0.0
F1-100,0.0
F2-101,0.0
F2-103,0.0
F1-104,0.0
F2-106,0.0
F2-107,0.0
F2-108,0.0
G1-109,0.0
G1-110,0.0
G1-111,0.0
G1-112,0.0
G1-113,0.0
G1-114,0.0
F2-115,0.0
F2-116,0.0
G1-117,0.0
G1-118,0.0
F2-119,0.0
A3-120,0.0
D1-125,0.0
G2-122,0.0
D1-127,0.0
H3-124,0.0
H3-125,0.0
H3-126,0.0
G2-128,0.0
E4-130,0.0
E4-131,0.0
H3-132,0.0
F2-133,0.0
E2-135,0.0
E2-136,0.0
E2-137,0.0
E2-138,0.0
E1-139,0.0
C3-141,0.0
C2-142,0.0
C2-143,0.0
C2-145,0.0
C3-146,0.0
C2-147,0.0
C2-148,0.0
A4-152,0.0
A4-153,0.0
D2-154,0.0
B4-155,0.0
C1-156,0.0
C1-158,0.0
C1-160,0.0
F3-162,0.0
A2-168,0.0
C2-179,0.0
C2-185,0.0
C2-186,0.0
C2-187,0.0
C2-188,0.0
C2-189,0.0
D1-171,0.0
D1-2,0.0
C2-201,0.0
E1-202,0.0
E2-205,0.0
C2-207,0.0
C2-217,0.0
C2-219,0.0
C2-221,0.0
C2-223,0.0
F1-224,0.0
C1-225,0.0
C1-226,0.0
D2-227,0.0
D2-228,0.0
B2-229,0.0
D2-230,0.0
D2-231,0.0
D2-232,0.0
A4-233,0.0
A4-234,0.0
D2-235,0.0
D1-1,0.0
A2-237,0.0
A2-238,0.0
B2-239,0.0
B2-240,0.0
B3-241,0.0
B4-242,0.0
B3-243,0.0
G2-248,0.0
G2-249,0.0
G2-250,0.0
D1-209,0.0
B2-253,0.0
E4-254,0.0
A3-255,0.0
D1-0,0.0
C1-227,0.0
A3-300,0.0
nappe,57416.268
rhone,119456.78
cad,9980.0
nappe_ste_marguerite,20484.821
"(2594138.3, 1119501.4)",0.0
"(2594047.4, 1119480.0)",0.0
"(2594613.9, 1119706.4)",0.0
"(2594569.3, 1119620.5)",0.0
"(2594518.7, 1119591.2)",0.0
"(2594331.1, 1119546.9)",0.0
"(2593768.0, 1119465.8)",0.0
"(2593753.3, 1119516.9)",0.0
"(2593886.1, 1119441.9)",0.0
"(2593781.9, 1119417.3)",0.0
"(2594224.7, 1119521.8)",0.0
"(2593960.9, 1119459.5)",0.0
"(2594313.4, 1119422.7)",0.0
"(2594175.6, 1119319.8)",0.0
"(2594138.3, 1119292.6)",0.0
"(2594017.7, 1119204.6)",0.0
"(2593980.7, 1119183.5)",0.0
"(2594494.5, 1119557.8)",0.0
